checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,accepted
0_checking,6.0,Critical_acct_other_credits_existing,radio/television,3380.0,Unknown_or_no_savings_acct,>7yrs,4,male_single,,4,real_estate,,none,own,2,skilled_employee/official,1,yes,yes,0
from_0_to_200,48.0,Existing_credits_paid_till_now,radio/television,6940.208336039156,<100DM,1_to_4yrs,2,female_divorced/separated/married,,2,real_estate,22.0,none,own,1,skilled_employee/official,1,no,yes,1
,12.0,Critical_acct_other_credits_existing,education,1902.3704830676045,<100DM,4_to_7yrs,2,male_single,,3,real_estate,49.0,none,own,1,unskilled_resident,2,no,yes,0
0_checking,42.0,Existing_credits_paid_till_now,furniture/equipment,1097.0,<100DM,4_to_7yrs,2,male_single,guarantor,4,building_society_savings_agreement/life_insurance,45.0,none,for_free,1,skilled_employee/official,2,no,yes,0
0_checking,24.0,Delay_in_past,new_car,9021.266893802289,<100DM,1_to_4yrs,3,male_single,,4,unknown/no_property,53.0,none,for_free,2,skilled_employee/official,2,no,yes,1
,36.0,Existing_credits_paid_till_now,education,1227.2039156426476,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,,4,unknown/no_property,35.0,none,for_free,1,unskilled_resident,2,yes,yes,0
,24.0,Existing_credits_paid_till_now,furniture/equipment,1985.0,500_to_1000DM,>7yrs,3,male_single,,4,building_society_savings_agreement/life_insurance,53.0,none,own,1,skilled_employee/official,1,no,yes,0
from_0_to_200,36.0,,used_car,2809.0,<100DM,1_to_4yrs,2,male_single,,2,car_or_other_nonsavings,35.0,none,rent,1,management_self-employed_highly_qualified/officer,1,yes,yes,0
,12.0,Existing_credits_paid_till_now,radio/television,2484.6636067714944,>1000DM,4_to_7yrs,2,male_divorced/separated,,4,real_estate,61.0,none,own,1,unskilled_resident,1,no,yes,0
from_0_to_200,30.0,Critical_acct_other_credits_existing,new_car,16324.0,<100DM,unemployed,4,male_married/widowed,,2,car_or_other_nonsavings,28.0,none,own,2,management_self-employed_highly_qualified/officer,1,no,yes,1
